,Mora últimos 3 meses_woe,Mora últimos 6 meses _woe,tiempo trabajado_woe,Cuentas x Cobrar_woe,Provisión General_woe,Saldo  Capital_woe,edad_woe,endeudameinto_woe,cargo_woe,Plazo residual_woe,cuota total_woe,antigüedad cuando otorgaron el crédito_woe,Valor crédito_woe,tasa_woe,Linea de Credito_woe,Plazo crédito_woe,FlagTarget
49,-0.0,-0.0,-0.7270292616410915,-0.805956520230762,-0.5872673192659328,-0.4247483897681579,-0.9106674743197928,0.15134223537076966,1.4921742224139032,-0.8820668594865774,0.36676374059106936,-0.14098021663751306,-0.36412376795172297,-0.8023786988828784,0.14670185581426753,-0.5872673192659328,0
50,-0.0,-0.0,1.468457695796587,-0.805956520230762,-0.29958524681415183,-0.4247483897681579,-0.9106674743197928,-0.9927324273740972,-0.4594339477560479,0.46255480523274506,-0.04135037568867193,-0.012725881113834433,-1.0572709485116683,0.20298269171285704,-0.020160859601352412,0.12699678473493525,0
51,-0.0,-0.0,0.021538712860261378,0.9955023460860062,0.0413413401564414,0.0413413401564414,0.3290234126082224,-1.280414499825878,0.0413413401564414,0.46255480523274506,-0.04135037568867193,0.10587986129401256,-0.36412376795172297,0.20298269171285704,-0.020160859601352412,0.12699678473493525,1
52,-0.0,-0.0,0.021538712860261378,0.9955023460860062,-1.1373136561852046,-1.1373136561852046,-0.9106674743197928,0.15134223537076966,-0.4594339477560479,-1.1060611126811002,0.36676374059106936,0.10587986129401256,0.49607749727138833,0.20298269171285704,-0.020160859601352412,0.12699678473493525,0
53,-0.0,-0.0,0.021538712860261378,0.0413413401564414,1.715317773728113,1.715317773728113,0.5200786493709316,1.3898953732934853,1.4921742224139032,0.46255480523274506,0.36676374059106936,-0.012725881113834433,0.49607749727138833,0.20298269171285704,-0.020160859601352412,0.12699678473493525,1
54,-0.0,-0.0,0.021538712860261378,-0.5107272421435983,-0.5582797823926803,-0.5359740248783822,-0.9106674743197928,-0.36412376795172297,-0.4594339477560479,-0.8820668594865774,-0.04135037568867193,-0.012725881113834433,-1.0572709485116683,0.20298269171285704,-0.020160859601352412,0.12699678473493525,0
55,-0.0,-0.0,-0.8648990558642121,-0.5107272421435983,-0.5872673192659328,-0.5359740248783822,-0.9106674743197928,0.15134223537076966,-0.4594339477560479,-0.8820668594865774,-0.04135037568867193,-0.90312026868441,-0.36412376795172297,-0.8023786988828784,-0.020160859601352412,-0.5872673192659328,0
56,-0.0,-0.0,0.021538712860261378,0.0413413401564414,1.715317773728113,1.715317773728113,0.5200786493709316,1.3898953732934853,1.4921742224139032,0.46255480523274506,0.36676374059106936,-0.012725881113834433,0.49607749727138833,0.20298269171285704,-0.020160859601352412,0.12699678473493525,1
57,-0.0,-0.0,0.021538712860261378,-0.5107272421435983,-0.5872673192659328,-0.5359740248783822,-0.4694842836095493,0.15134223537076966,0.0413413401564414,-0.8820668594865774,-0.04135037568867193,0.10587986129401256,-0.36412376795172297,-0.8023786988828784,-0.020160859601352412,-0.5872673192659328,0
58,-0.0,-0.0,-0.8648990558642121,-0.805956520230762,-0.29958524681415183,-0.4247483897681579,-0.9106674743197928,-1.280414499825878,-0.4594339477560479,0.46255480523274506,-0.43311663943867446,-0.14098021663751306,0.3290234126082224,-0.8023786988828784,-0.020160859601352412,0.12699678473493525,0
